,AUS,KHM,CHN,HKG,IDN,JPN,KOR,MAC,MYS,MNG,NZL,PNG,PHL,SGP,TWN,THA,VNM,BGD,IND,NPL,PAK,LKA,ARM,AZE,BLR,BIH,BGR,HRV,CZE,HUN,KAZ,MKD,MDA,POL,ROU,RUS,SRB,SVK,SVN,UKR,DNK,EST,FIN,ISL,LVA,LTU,NOR,SWE,AUT,BEL,FRA,DEU,IRL,LUX,NLD,CHE,GBR,CYP,GRC,ITA,PRT,ESP,TUR,DZA,BHR,EGY,IRN,ISR,JOR,KWT,LBN,LBY,MLT,MAR,OMN,QAT,SAU,TUN,ARE,AGO,BWA,CIV,GHA,KEN,MUS,MOZ,NAM,NGA,ZAF,TZA,UGA,ZMB,ZWE,CAN,MEX,USA,ARG,BHS,BOL,BRA,CHL,COL,DOM,ECU,JAM,PAN,PRY,PER,TTO,URY,VEN
ARM,6.887416588363496e-07,1.0538165286293343e-05,4.807862926504314e-07,2.8046971353407075e-06,1.210752021352228e-06,4.22452239774149e-07,6.874269207119476e-07,1.4536544746635501e-06,1.680757812151109e-06,1.0703980403053387e-05,5.36537110923136e-07,1.0102038086211963e-06,1.049758364108798e-05,2.735512571536201e-06,1.0344006217275308e-06,7.4833074145652556e-06,3.4998075976031877e-06,9.788912650715935e-06,4.019004493646178e-06,1.3964638025226317e-05,5.822944267883486e-06,8.265439432792742e-06,0.030830898234598066,1.1407793605616714e-05,5.5286623795292776e-05,1.880710973242981e-05,5.680360392737325e-06,8.157627177029342e-06,6.858448611677567e-06,3.323281096875762e-06,3.2344465050193923e-06,1.7107451754875977e-05,0.00022112686258746617,9.086838291406478e-06,1.7928632906283763e-06,3.151668181517802e-05,8.766968336574224e-06,3.1173285072406352e-06,1.5735448582060685e-05,4.270734022749239e-05,1.0942424675881814e-06,3.377244722673339e-06,1.8229810090185346e-06,2.2769959415551623e-06,1.94672990202881e-06,6.153934840304883e-06,1.6358300565963233e-06,4.2670540763571845e-06,2.715263576871894e-06,9.68002907719905e-07,1.6559913291616536e-06,1.4689059984106422e-06,1.7253877107003719e-06,2.301584764915029e-06,4.207165246478401e-06,1.1469227831599841e-06,1.1405358466358062e-06,7.997497568999174e-06,1.3852183974379825e-06,7.3625003733104975e-06,1.28826214247468e-06,9.715520456792081e-07,2.6740426992006957e-06,5.618701414975331e-06,7.679575999367495e-06,3.004011733487085e-06,5.483660381834372e-06,3.6312781945250704e-06,4.567582467793336e-06,9.458079409429835e-07,6.606722388725016e-05,9.84821319249926e-07,9.361694031483038e-07,6.916947074210891e-07,1.6791384381884513e-06,1.4985318405411986e-05,1.1382900136625528e-06,1.8786787304571069e-06,2.272795734621796e-06,2.076832558275117e-06,1.650036188618211e-07,4.804223384801031e-07,6.940761345002969e-06,1.3715134108693883e-06,5.673503132372687e-07,2.795498174955529e-06,7.11012498258396e-07,4.226804016066028e-06,5.595625785451458e-06,7.880390072396807e-06,7.448286925397507e-07,3.1360209019491754e-07,4.2402834582827335e-06,1.6485304681419656e-06,3.314116016288718e-06,2.575823712250819e-06,7.804289668645341e-06,5.420885094494024e-06,3.248946290406945e-07,1.9535444966133845e-06,1.4410422421953652e-06,1.388580993507984e-06,8.022560948609845e-07,4.2786521844389397e-07,7.240130724362238e-06,7.61020386609689e-07,1.7821848831557246e-06,2.3411582915191983e-06,3.962571547761412e-07,1.678014440870857e-05,1.271214133960236e-05
AZE,3.646486716031754e-07,1.5929495175819243e-07,1.480876736697663e-07,2.4850462761491546e-07,2.857948749284274e-07,1.499662034948632e-07,1.9232556080920995e-07,1.6310047683760272e-07,1.6249803320805902e-07,1.6659766288969115e-07,1.4658769029125302e-07,4.61686284486505e-07,4.85201165187275e-07,2.220967244791754e-07,1.2023822371477398e-07,6.291414314375256e-06,9.465378938565295e-06,2.8914339149847383e-07,6.735511122695615e-07,1.1876675974675466e-07,3.958868989971616e-06,2.1786805227588213e-07,1.496392416877319e-06,0.020568255801260826,6.667828093796493e-07,4.841967593797894e-06,1.9785521536568677e-06,1.1762207341114799e-07,6.232609462020962e-07,1.3839837384294892e-06,2.8339356554902795e-05,9.015397197389252e-07,1.971525890434958e-06,1.7448295254361897e-07,3.410733449554271e-07,5.837704787651561e-06,1.0363224858841335e-06,1.3765390633038275e-06,7.406578051865022e-08,8.678285108531247e-07,2.6867450257982694e-07,1.7045576275381716e-06,1.4183137690312366e-07,6.376923315012685e-08,3.694301686812653e-06,3.299512110216591e-06,6.469189362428293e-07,1.8055862611479823e-07,4.087535105029245e-07,2.5846393479109656e-07,2.7312970396481705e-07,1.1549913078222378e-06,1.1904957394746577e-07,2.4068614611647175e-06,7.998324638560087e-07,7.831309023503181e-06,4.987605958738732e-07,1.2102523262165969e-06,1.871726504526582e-05,6.483738550387995e-07,1.8204684080195734e-07,4.798064740212412e-07,2.199615626087944e-05,3.335776163772965e-07,8.311141377023803e-08,5.628759157744302e-07,0.0001460169020840346,1.0500453625289188e-07,1.1779040601559128e-07,1.1167579346553777e-06,2.3682012975691139e-07,2.7803824710852383e-06,4.553890149348926e-08,5.240601003493269e-07,2.025179885779079e-05,8.124538926782147e-07,3.2498392727362335e-07,2.0319190583612738e-07,4.764327224058227e-07,2.39082691958808e-07,3.753813736412974e-08,6.624267735311779e-08,7.431811496909592e-08,2.3359513347209572e-07,1.0757824675119195e-07,6.88000017903037e-08,7.249416380502367e-08,1.7677402947666238e-05,1.23566247226852e-07,5.1190189425498333e-08,4.158263609795905e-08,1.964931482767264e-06,5.66870847942391e-08,2.6273629527610547e-07,4.812705878634342e-06,3.089769425556959e-07,1.8904003735788032e-07,6.693824962537757e-08,1.609036300612805e-07,1.5895013401994444e-07,3.142003404432382e-07,1.0643559743943932e-07,6.087328235136635e-08,1.966622907443625e-07,2.704251554106647e-07,2.3132714083223657e-07,4.636276103223612e-08,9.741328769259928e-08,1.3136657097322338e-06,1.2995865576153513e-07,1.4508126378917382e-06
BLR,1.1207942221693046e-07,1.4477938032110167e-07,9.191110900121277e-07,2.159785036566153e-06,5.778676416088837e-06,1.8644666286598898e-07,1.649508688193175e-07,4.0276624713028546e-08,1.0550322375576702e-07,3.8871962289014487e-07,1.706262062650571e-07,1.4882202907501896e-07,1.778030333800189e-07,1.5314773055442718e-07,5.1882041952609196e-08,2.1213242421070414e-07,1.176944758569821e-05,4.493510648312718e-07,1.114727102833863e-06,9.95278389961847e-08,7.943817053338364e-06,1.326443322327625e-07,2.3934149311710235e-06,3.500051313147086e-07,0.01371783274830672,1.1008502488188379e-07,6.751032130822748e-07,7.538678310824378e-08,2.50487015539589e-07,5.592088721093206e-08,2.5784275867070174e-05,4.478178904852352e-08,0.00028541241564671754,1.6596518725343855e-06,5.471530594086891e-07,2.0450833394019464e-05,1.944149112071739e-07,8.652057345021495e-08,2.321390856334318e-06,0.0001266696844649469,1.1763347032902515e-07,9.249515797901048e-08,4.454132245725841e-07,3.201720624298238e-08,2.097343531504866e-07,1.4195446648032074e-05,2.125153227081931e-07,9.139767413995434e-08,4.539565586191313e-06,3.357769304560132e-07,1.1255065254981046e-07,5.777411443472673e-07,7.698332131004521e-08,2.502480309884758e-07,2.9619996371671946e-07,3.920217368289993e-07,2.710221921679677e-07,3.8443637122532054e-07,9.295294646672315e-08,2.0469550114326404e-07,4.7040651527757525e-08,1.1530974755596072e-07,6.994600597876179e-07,2.4289625033929576e-07,1.3351952589232445e-07,1.6051641578665743e-05,2.680859544257027e-07,7.588876746503628e-08,1.4362276354136983e-07,9.721277031038515e-08,3.750622931999439e-07,1.496645836329015e-07,2.5880606377253093e-07,1.1558776943880126e-07,2.644024394646437e-07,1.3434907083713738e-07,3.0162002734183784e-06,1.1208067912937643e-06,1.9563422904806168e-07,6.381361237825114e-08,5.333212392005042e-08,4.1011716930242197e-07,4.0602441990800065e-07,6.9670029063143e-08,7.526900773721609e-08,1.5815442185894855e-07,1.420603771789479e-07,9.129516564599771e-08,1.448982307087338e-07,2.0659636111853233e-07,9.653635794060316e-08,3.6828444545883297e-07,3.3389652045722823e-08,9.315841801661588e-08,8.232351969078593e-08,2.409367356576525e-07,1.0372833708747712e-07,5.4320048351343716e-08,6.145590777555866e-08,1.4958846624790015e-07,7.563380763686131e-08,9.711934512073508e-08,3.146751109055133e-08,7.915388938804004e-08,1.4202389339663714e-07,5.117900252455717e-08,1.030267296782784e-07,4.761461907737437e-07,1.1404240253413862e-07,2.4860180429342002e-08,1.450117106720347e-07
BIH,5.571710772193646e-07,7.255691088649683e-07,5.462242767287042e-07,1.711633662182782e-06,7.491932896380767e-07,6.912053798397624e-07,4.640669451574459e-07,3.9238785895170234e-07,6.126357123746134e-07,6.097674317704068e-07,1.2631637645423868e-06,4.918877205802415e-07,2.715695691184123e-06,4.3972486610621035e-07,4.962842387540087e-07,3.216193225491046e-07,8.736047001892711e-07,2.78389372091234e-06,1.4260431196575214e-06,5.915242778718537e-07,1.9600234323672893e-06,9.910987112071593e-07,1.1879882731637662e-06,2.1349883901984436e-06,6.860566509449218e-06,0.020922140082417617,7.329888672461346e-06,0.0003190631392802616,3.3185802936509465e-05,1.4816529936419715e-05,3.629554829846955e-07,8.890753840366013e-07,1.0688659086093058e-06,1.0382028893379673e-06,4.1011747462310396e-06,2.1791262239648687e-06,1.3960842459247427e-05,7.84989443598413e-06,7.358003777268049e-05,3.943741657239141e-06,1.3477277432315805e-06,8.753947491593897e-06,1.5557980736569296e-06,4.4813342178453483e-07,6.390016707030656e-07,1.3567005848766737e-06,1.5508507142257726e-06,1.918479714964995e-06,9.56388335177779e-06,1.1476031467466348e-06,1.8177229403387068e-06,4.934349755950699e-06,1.0530752435821952e-06,9.798047227356513e-06,1.6812072265581535e-06,1.2017724745248243e-06,8.305362281341465e-07,7.054101905246758e-07,1.3199280340208201e-05,9.50713157250971e-07,2.8033021011423856e-06,4.882747352521132e-06,4.308276830168844e-05,3.5770457264903557e-06,7.815351238348244e-07,4.841058702483131e-06,6.131620379915151e-07,1.8657275806848237e-06,6.852940318414947e-07,7.140688913684009e-07,2.0973815407209885e-06,5.969672062222838e-06,5.385147846869755e-07,1.589206500037189e-06,7.087242531708256e-06,8.646461983410628e-07,9.982708814447744e-07,1.599990695104429e-06,1.0268295508852766e-06,5.299408329112049e-07,2.8551233642503147e-07,4.105804916496542e-07,3.4427977820253807e-07,4.647816438223195e-06,3.9900054990051344e-07,1.0939934627286589e-06,3.8205861832900987e-07,8.237276761401903e-07,8.54378301122489e-07,1.0167582747540804e-06,6.187690431340069e-07,8.331351633485724e-07,7.048675692548523e-07,8.121693451449264e-07,3.1094681526911667e-06,1.5182845092226354e-06,6.199403582547964e-07,6.125414736015208e-07,4.079069120292558e-07,1.2658591823350591e-06,6.758663589560751e-07,1.8969101321764769e-06,4.249270703286584e-07,3.9707445363396816e-07,1.1447011489490896e-06,4.840929280891433e-06,6.552769454368883e-07,9.682054517836648e-07,5.092854463279962e-07,4.2335049245994257e-07,2.041193872492994e-06
BGR,1.5115847250119644e-06,9.7264128349694e-07,5.783342898950296e-07,6.638197124451242e-07,7.197123931968256e-07,6.884965136206621e-07,1.0756235020043087e-06,5.422903415902204e-07,6.422641489062246e-07,8.61795303103476e-07,4.597054882505254e-06,1.154519354424302e-06,1.333111389994158e-06,5.196688423014089e-07,4.319965271778243e-07,5.889773880610878e-07,3.0963812716676844e-06,2.5926830760214687e-06,9.091763909038348e-07,7.662016780360909e-07,5.726962658495388e-06,2.8721760624313435e-06,8.561622897120385e-06,8.719862257117958e-06,3.334700924689702e-05,2.189362841144945e-05,0.004623321065890366,1.6114210396670686e-06,2.444959305855028e-05,7.680327838768466e-06,1.2156827777136288e-06,0.00010238151887443769,5.595937042483586e-06,4.5738566590810364e-06,2.9265988986238544e-05,4.890677013926632e-06,1.396609468871421e-05,2.9734427810243198e-05,7.419154085460782e-07,1.10580595176036e-05,1.5904975715554531e-06,3.4069122203895172e-06,2.132827620192127e-06,3.2476724820831703e-06,2.6946346471907734e-06,5.000782868860864e-06,1.0811834672098213e-06,1.234701892811552e-06,1.804017306315061e-05,2.9977078444426698e-06,2.5826769703211855e-06,3.215780629560327e-06,1.8190647493272874e-06,2.4812449845169037e-06,2.9692919418278625e-06,3.843175284933449e-06,2.2305853886314176e-06,9.25683360501425e-06,6.425650645587251e-05,5.6354864863634915e-06,3.3417734706370594e-06,2.319132909406873e-06,1.963460600338569e-05,7.10727008743538e-06,1.6039154657948524e-06,7.175529745383638e-06,1.9882728627415395e-05,1.5644541762545008e-06,2.6158257299189398e-06,2.5131211032252203e-06,1.2884433365965406e-05,1.5056847171635934e-06,1.8492399884841276e-06,1.035842103536867e-05,2.5025036482798494e-06,1.3519121767368715e-06,1.5984483455997058e-06,1.3431887816011697e-06,3.0231577608991515e-06,1.0898668642750843e-06,4.1363744983689227e-07,1.2281159022869966e-06,1.7171609762324815e-06,8.169376290435744e-07,9.06392551869956e-06,8.486049626021883e-07,1.0763841084771615e-06,1.0955757744904051e-06,9.027523819331206e-07,6.024362834128082e-07,2.7369901687034795e-07,1.3012795754749727e-06,8.231664515264349e-07,1.3290920673837737e-06,2.106359847003501e-06,1.6375566391569827e-06,1.3001336095963143e-06,4.5119442631093576e-07,7.532129148527328e-07,1.3833551058038322e-06,4.81658957315648e-06,1.657905517973403e-06,9.570492300760665e-06,7.477380535203039e-07,1.2325701089708366e-06,1.4850709066364121e-05,2.2490011836646622e-06,6.096196797323404e-06,1.31966348644521e-06,9.351177604355062e-07,1.5024505882294076e-06
HRV,1.6501510726622164e-06,1.4509831208466193e-06,2.211911840225679e-06,1.116810862848998e-06,1.8775933328362038e-06,1.734466841958208e-06,9.49061463229094e-07,2.894706918307429e-07,1.9782732106943284e-06,6.5066625153941214e-06,3.436052389406357e-06,3.413285459593285e-06,7.413800592703766e-06,1.3758716597016688e-06,9.922637535160975e-07,9.100405859308742e-07,5.064675014907195e-06,8.698330480409915e-06,2.423999961601026e-06,1.8444670040008034e-06,4.788356285498859e-06,1.3637852176020586e-06,3.6501169561493142e-06,9.340209059431894e-06,2.397656476140435e-05,0.0010353263483338904,2.1107918655732166e-05,0.0063550972852765624,7.007973115189794e-05,0.00011643478952473707,1.088301164202972e-06,0.00010183935808118733,2.696387231065587e-05,5.245532016601252e-06,1.2564704665484547e-05,1.4754783917289168e-05,9.008460847330905e-05,0.0001276465953841182,0.0002579290128707864,1.632940479432862e-05,4.143568561994406e-06,5.643136524616326e-05,3.9189217648955125e-06,7.745638751402797e-07,3.387013111477196e-05,1.831686334061093e-05,3.421600813976348e-06,5.648267223742372e-06,1.2695320057365105e-05,7.0624117502889365e-06,4.133480895726926e-06,6.631362924719942e-06,4.635314415858782e-06,8.019563546182242e-06,5.963953623735707e-06,3.3165324456758287e-06,2.0407350241981314e-06,8.329645569110306e-06,8.815550576762319e-06,8.852640321580609e-06,3.2447101462634376e-06,2.5866936122314067e-06,4.19481208740863e-06,3.155094200335204e-05,1.226657432453769e-06,6.4759088908120776e-06,1.4973722843031574e-05,8.714426859303209e-06,2.4720643556439322e-06,8.428068717029741e-07,7.747945144410007e-06,6.998636074747398e-05,6.010503324980063e-07,6.134099618302038e-06,1.010552893127511e-06,1.2263459660033956e-06,1.3169087329608405e-06,1.3766522796840487e-06,4.0317507341925106e-06,9.388258348620789e-07,5.087740771698762e-07,1.1774095312098311e-06,5.0090210717577655e-06,3.060250867151355e-05,7.047578683780106e-07,1.2187760173575892e-06,1.3859487483434218e-06,5.6122853226908345e-06,1.0107118402692621e-06,3.6965782811766506e-06,5.754387740233301e-07,8.197174524833341e-07,1.973875514949476e-06,1.2953565046349144e-06,6.814075532238897e-06,1.5112072863348912e-06,1.105494708989769e-06,4.339730543151655e-07,4.918015830524083e-07,5.447417764942529e-06,1.335161467874102e-06,8.824145434930426e-06,6.478622971482896e-06,4.4690062400394765e-06,1.1959855798266336e-06,3.8070944905472686e-05,8.997265335970351e-07,2.8442760411529384e-06,2.5484559455948365e-06,1.0439617120531919e-06,9.358900972559421e-06
CZE,2.2182603466296135e-06,2.453964954961029e-06,2.230168171692314e-06,1.2765756388591575e-06,3.0024555895030565e-06,1.1385044942905772e-06,1.7142194629277225e-06,9.144353632140339e-07,1.2952350443980125e-06,1.3963029829632355e-05,2.232029799411631e-06,1.318480669145902e-06,2.3088895027711874e-06,1.9377101162967567e-06,2.4301260536747805e-06,1.6219419770215475e-06,4.035190224880558e-06,7.14996427710547e-06,3.5621626269000404e-06,2.9140492938598883e-06,1.7541352901393397e-05,7.459499930172213e-06,9.632490768967039e-06,5.647603629545567e-05,6.13953019454913e-05,3.722722685216948e-05,7.108772902372128e-05,3.4581196890258796e-05,0.002435400979031834,0.00010063750671198684,3.107789891414291e-06,8.811967750917048e-06,3.1797216007251745e-05,2.741370752387984e-05,2.1032860398920487e-05,1.803140100628431e-05,3.3227047895930256e-05,0.0005229752022195824,3.020071244201615e-05,2.7621651601101667e-05,5.573637963860123e-06,1.6872820239027862e-06,4.836822015270574e-06,2.6085095771905964e-06,8.708032267727443e-06,1.7382150061981745e-05,3.5582489051307327e-06,4.113362630265174e-06,4.3688554633311994e-05,4.309730427470069e-06,3.2568759235633266e-06,9.442004319556596e-06,6.1342498577511e-06,9.059608175173753e-06,1.4259894977209013e-05,5.370159624630732e-06,4.181632135925266e-06,5.17402366867663e-06,4.963669535890463e-06,7.816483509935497e-06,7.0545396608825036e-06,6.131309656487123e-06,1.2906835715462488e-05,2.9920720880926676e-06,6.440150949256408e-06,9.575321203869125e-06,4.444994011528015e-06,5.541388475740051e-06,2.916677246237419e-06,2.89083969949189e-06,8.248992516749316e-06,5.533968967065055e-06,1.2540381818800888e-05,2.2641275548682925e-06,2.552950914716152e-06,5.492202968928314e-06,2.0247946443670542e-06,2.7709260151564276e-06,4.663594296118963e-06,1.5326709001321203e-06,1.134111542052973e-06,1.1850815405589366e-06,9.032153091652054e-06,3.112875391646583e-06,1.500171413720846e-06,2.451733789254974e-06,2.6820922684047505e-06,3.5290637531956235e-06,2.5028544723269223e-06,4.1634403121206095e-05,6.6222432461242185e-06,4.094898136759457e-06,1.6386054572280717e-06,2.2749200781254085e-06,3.3784443279683942e-06,2.598067841724112e-06,2.0369131414124356e-06,1.2366014121399353e-06,1.3887751827023905e-06,5.310517850747726e-06,2.4597373484281085e-06,3.5346710615230197e-06,1.9820247329315666e-06,1.6031544798767004e-06,3.1546853352090794e-06,2.781029484975196e-06,9.132782474111729e-07,4.860729883962192e-06,5.628199524295632e-06,2.4541909120678514e-06,2.650815807980426e-06
HUN,1.1241600964626448e-06,2.980377670221717e-06,1.94077341478356e-06,1.847245536306039e-06,1.5089169338194175e-06,2.6279071910928613e-06,3.1673231136566746e-06,1.520079439049651e-06,1.071380918662356e-06,2.4134318455736622e-06,1.5038456543388305e-06,2.879859776969282e-06,1.121680516879602e-06,1.1568637269214363e-06,1.3808292103454252e-06,1.9166169085553694e-06,4.992385159241284e-06,1.4713360068707751e-05,2.5138874741418965e-06,2.990318305148307e-06,2.1144707641942832e-05,2.9846366462249956e-06,4.2477011944315666e-06,4.644151525960383e-06,6.360960279874383e-05,2.10142081668896e-05,9.344421027486083e-06,8.015902119129332e-05,4.7857658088566354e-05,0.003751445471689973,2.0108326971443977e-06,3.424890525238785e-06,5.318286927110257e-06,1.541982947586981e-05,2.484860238321081e-05,1.1360025128710481e-05,2.3821205445936618e-05,8.666845124424565e-05,7.153415752211305e-06,7.83355638646842e-06,4.649239727916378e-06,9.773689113066434e-06,1.6316240348108082e-05,3.119517604309786e-05,7.432391468584428e-06,2.6899464411000475e-05,4.623173151681498e-06,5.682791346078572e-06,1.219114908021593e-05,4.474083853437331e-06,5.125703616541266e-06,7.199996592300816e-06,3.862843119377232e-06,3.4796462355014657e-06,7.1769454850911064e-06,5.44591517258344e-06,3.0472495707979976e-06,1.639746968365629e-06,5.12791830651544e-06,4.730566910900201e-06,6.457314641449576e-06,4.793797943458813e-06,2.5088266814165853e-06,4.716661639120168e-06,1.91311916531182e-06,2.8042551070122187e-06,1.738152837487914e-05,2.2711802442045376e-06,7.05011303493067e-06,9.560645346854458e-06,1.2956351217491816e-05,3.813392031393797e-06,3.572351276654672e-05,1.6368755884536377e-06,2.5864886816437074e-06,4.255231554397839e-06,1.4087847195599365e-06,3.7936824816632053e-06,2.6140962748335117e-06,3.814345742634584e-06,5.440699906127238e-07,1.8541459862548768e-06,1.1494928187423443e-05,1.659606422250723e-05,1.0829372079213946e-06,4.976938425672586e-06,8.28297973220166e-06,1.8981477459375303e-06,1.2723987868351573e-06,1.3281401727014773e-05,7.75532853150303e-06,1.742224431243789e-06,9.560539962068988e-07,1.6885780650117367e-06,2.2301813997715803e-06,2.6698311972958888e-06,1.8819391840711046e-06,2.7195744246608523e-06,2.763977912110187e-05,2.616398666990752e-06,3.1340761528607897e-06,2.3380964858107316e-06,1.8926127235908635e-06,1.1783854039177982e-06,1.275860603089478e-06,2.053331691919209e-06,3.381575903192533e-06,2.0726412788196355e-06,1.2492756724193205e-05,5.2936035793134225e-06,2.0844781201749953e-06
KAZ,7.620642648754918e-07,9.002749609736759e-07,2.225508570491046e-06,7.252229201300327e-07,5.202940697758737e-07,6.821917026884643e-07,1.0849988213722295e-06,2.4940352440644195e-07,5.841061762733232e-07,4.322435811598687e-05,4.926121600807645e-07,3.935177821219167e-06,6.094611533307382e-07,8.528034004030926e-07,3.172221787720149e-07,1.5701955260137576e-06,5.607170909644326e-06,2.3791615359258616e-06,1.1144826216252842e-06,5.65832201453341e-07,3.9891037416375045e-06,3.442303459832177e-07,6.916808176064832e-06,1.0416768495479118e-05,5.280933920897595e-05,7.256040950129835e-06,1.7478545033820155e-06,2.1542677750697905e-05,8.317098519230074e-07,2.0558284425508504e-06,0.0072239451835323645,2.533642349770447e-07,3.5696163971106964e-06,8.174944194356697e-07,3.303914595540233e-05,3.9920889817331455e-05,1.536156983137678e-06,7.264927477168177e-07,6.951795190759341e-07,1.0012926262612255e-05,7.914854568997353e-07,2.6640938872446265e-06,1.5776888054470844e-06,3.7429317951643164e-07,1.1245251037345306e-05,2.317376228975716e-06,3.607165413993066e-06,5.509860681723187e-07,3.105938105638557e-06,7.564229634199412e-07,1.0820242052112894e-06,8.931846651477882e-07,5.349638565621418e-07,2.115795105032032e-06,8.608620903335972e-06,3.1004433783894264e-06,2.044453774623605e-06,8.430363171811682e-06,7.365546690023814e-07,4.704933390840553e-06,1.0061884674291096e-06,7.052133024948687e-07,1.1982050594082892e-05,3.551425941467929e-06,9.633310750445951e-07,1.6436338402233354e-06,3.3668157333587997e-06,4.864893427448171e-07,2.821343541718655e-07,1.940751396307681e-06,3.568295439070072e-06,4.5465515289814284e-06,2.4140919965114006e-07,9.998268974045e-07,1.56679310017985e-06,9.537908782787952e-07,1.4570624994532065e-06,2.2862508468877005e-06,1.649986281348642e-06,7.981866068065798e-06,5.211476534717798e-07,3.724740147250615e-07,1.5545754673531653e-06,1.3109666711220218e-06,3.027576365989784e-07,4.982369081844987e-06,2.457132748145013e-07,9.821747622718716e-06,2.826293176002246e-07,9.171261280929256e-07,2.3240157995609462e-06,8.427262806500473e-07,1.1781331097360587e-07,1.5548390468337941e-06,8.211235019254278e-07,8.882103070798601e-07,1.0188993012354832e-06,2.5797863025846955e-07,1.997853241383353e-06,7.54130945931877e-07,8.167244429977194e-07,1.3741486660126083e-06,7.015022364390185e-07,2.783846575824856e-06,3.1985911863606365e-07,1.7879039125419269e-06,2.360771003831352e-07,1.2369694371652643e-06,8.128687817546801e-07,9.745240532620528e-07,3.0726078741467696e-06
MKD,6.57386048286873e-07,2.3379709673805297e-06,1.0069090553905027e-06,8.8677124476142e-07,3.610495074364149e-07,6.916441852404136e-07,4.4156042367786934e-07,7.890128836798382e-07,7.000870625471334e-07,1.4323318884614727e-06,5.140211401112581e-07,5.874409671739917e-07,1.7721079902546671e-06,5.750334374714684e-07,5.434701946857658e-07,9.803998737222955e-07,5.231331317930035e-07,1.678044275531148e-06,8.73164033595231e-07,2.963759568769699e-06,7.23011262548731e-06,3.6534938052482346e-06,1.773740527309133e-06,8.70830149352196e-06,9.566310452285417e-06,1.5382656169896805e-05,3.667234367872221e-06,7.004549639858801e-07,1.153211806515675e-06,5.148038679816153e-07,3.592798328536466e-06,0.029694511259149806,1.1785164587507797e-05,4.551029368499777e-07,4.915467220516753e-07,9.485537649320882e-06,0.0001426228463687456,5.118951988404566e-07,1.5204288706578282e-06,2.3452095103150234e-06,1.5334888522074407e-06,4.08212486249076e-07,5.292935718305508e-06,6.922456486774127e-07,1.0478724256767802e-05,2.1894481875810874e-07,3.9335773670699095e-06,2.334365161129717e-06,9.007750637703885e-07,7.766466030100733e-07,9.757142005216104e-07,8.69694341307202e-07,1.8663356326644085e-06,1.0573480168145896e-06,1.0311121540791366e-06,1.2862533556748343e-06,9.69094915802177e-07,5.668507357100234e-07,4.38878685989118e-05,1.4673497510018157e-06,1.3460401583123577e-06,1.4624153360017893e-06,1.2711716058345337e-06,6.10863181928603e-07,2.1797692134735506e-06,7.120184412044519e-06,5.529272108879118e-07,1.6088073372469656e-06,5.050722066110167e-06,1.1596125481170651e-06,2.6504364847115774e-06,8.32921304287262e-06,1.044019081644431e-06,4.77667420784419e-07,1.6331610596224038e-06,1.601416699496822e-06,1.3117481597705691e-06,7.105559179499862e-07,2.5883152315409857e-06,4.3148687170329547e-07,4.939830389092621e-07,5.087280828610271e-07,4.0540440454625716e-07,5.348279173758707e-07,3.502559765576614e-07,4.2603852356728037e-07,6.404608107035559e-07,7.977831090004408e-07,6.681936659761464e-07,4.406239593196742e-07,1.0170451384416912e-05,3.371132924652931e-07,3.699531856802416e-07,6.318348950584282e-07,2.570964673553942e-06,2.339524050172989e-06,1.3097383318637444e-06,1.0969782923233458e-06,5.94284780950905e-07,6.499555536109269e-07,1.0088071740024987e-06,9.412102662317125e-07,7.683530898525733e-07,4.768096958594319e-07,6.387554915035511e-07,3.8107130153616933e-06,3.4066030281879675e-07,7.044567854138164e-07,1.807459339710235e-06,3.9076507742938655e-07,1.0990953346223198e-06
